
0; Очарование; Магия крови; 1 действие; Касание; В М; 1 час; (1 кровь) Цель должна пройти спасбросок Мудрости, с преимуществом если враждебно настроена против вас. При провале цель очарована. Очарованная цель считает вас верным другом, о котором нужно заботиться, и которого нужно защищать. Несмотря на то, что цель не находится под вашем контролем, она выполняет просьбы и искренне прилагает все нужные усилия, и будет согласной на укус.; Вампир; 
0; Языки; Магия крови; 1 действие; Касание; В М; 1 час; (1 кровь) Вы касаетесь существа и даруете ему<br> способность понимать любой<br> разговорный язык, который он слышит. А<br> когда цель говорит, любое существо,<br> которое знает хотя бы один язык и может<br> слышать, понимает её.; Вампир; 
0; Пронзание разума; Магия крови; 1 действие; 60 футов; С М; К-ция, до 1 часа; (1 кровь)  Вы достигаете разума одного существа,<br> которое видите в пределах дистанции.<br> Цель должна совершить спасбросок<br> Мудрости и получить урон психической<br> энергией 4к8 про провале или половину<br> этого урона при успехе. В случае<br> неудачного спасброска вы также всегда<br> знаете местоположение цели до тех пор,<br> пока заклинание активно, но только пока<br> вы находитесь на одном и том же<br> существования. Пока у вас есть это<br> знание, цель не может стать спрятанной<br> от вас, и если она невидима, она не<br> получает никакой выгоды от этого<br> состояния против вас.; Вампир; 
0; Кровяной щит; Магия крови; 1 реакция; Вы; В С М; 1 раунд; (1 кровь) 1 реакция, которую вы совершаете, когда<br> по вам попадают атакой или<br> заклинанием магическая стрела<br> Невидимый барьер магической силы<br> появляется и защищает вас. До начала<br> вашего следующего хода, вы получаете<br> +5 к КЗ, включая ту атаку, которая<br> спровоцировала это заклинание, а<br> магическая стрела не наносит урона.; Вампир; 
0; Псевдопсевдожизнь; Магия крови; 1 действие; Вы; В С М; 1 час; (1 кровь) Наделяя себя  подобием жизни, вы получаете 1d4 +14 временных ОЗ, пока действует заклинание.; Вампир; 
0; Луч болезни; Магия крови; 1 действие; 60 футов; В С М; Мгновенно; (1 кровь) Зеленый луч болезненной энергии<br> устремляется к выбранной цели в<br> пределах дальности заклинания.<br> Совершите против нее заклинательную<br> атаку дальнего боя. При попадании цель<br> получает 4к8 урона ядом и должно<br> сделать спасбросок по Телосложению.<br> При провале существо отравляется до<br> конца вашего следующего хода.; Вампир; 
0; Заклание; заговор; 1 действие; 60 футов; В С М; К-ция, до 1 минуты; (Плата собственной кровью 1к4) Вы создаёте ритуальный костер на земле в пределах  радиуса заклинания и поля зрения. До<br> конца действия заклинания костер<br> заполняет 5-футовый куб. Любое<br> существо в пространстве костра, когда<br> вы произносите заклинание, должно<br> преуспеть в спасброске Ловкости или<br> получить урон от огня 3к8. Существо<br> также должно сделать спасбросок, когда<br> он впервые входит на костер в свой ход<br> или заканчивает свой ход там.; Вампир; 
0; Электрическая кровь; заговор; 1 действие; Касание; В С М; Мгновенно; (Плата собственной кровью 1к4) Из вашей пролитой крови вырывается молния и<br> шокирует цель, которой вы касаетесь.<br> Сделайте заклинательную атаку ближнего боя против цели. Если она одета в металлические доспехи, то вы  получаете преимущество на бросок атаки. При попадании цель получает 3к8<br> урона электричеством и не может<br> совершать реакции до начала ее<br> следующего хода.; Вампир; 
0; Громовая волна; Магия крови; 1 действие; вы (15-футов куб); В С М; Мгновенно; (1 кровь) Вы испускаете волну оглушительной<br> силы. Каждое существо в 15 футовом<br> кубе должно сделать спасбросок по<br> Телосложению. При провале оно<br> получает 4к8 урона звуком и<br> отталкивается на 10 футов от вас. В<br> случае успеха оно получает половину<br> этого урона и не отталкивается. Кроме<br> того, любые незакрепленные объекты,<br> полностью находящиеся в области<br> действия заклинания, также<br> отталкиваются на 10 футов от вас.<br> Заклинание издает оглушительный гул,<br> который слышно на расстоянии 300<br> футов.; Вампир; 
0; Огненная стрела; заговор; 1 действие; 120 футов; В С М; Мгновенно; (Плата собственной кровью 1к4) Вы запускаете частичку огня в существо<br> или предмет в пределах дальности<br> заклинания. Сделайте заклинательную<br> атаку дальнего боя по этой цели. При<br> попадании цель получает 2к10 + 1к8 урона<br> огнем. Воспламеняющиеся объект<br> загорается при попадании, если он не<br> находится во владении существа.; Вампир; 
0; Кислотная кровь; заговор; 1 действие; 60 футов; В С М; Мгновенно; (Плата собственной кровью 1к4) Вы выпускаете пузырь вашей крови.<br> Выберите одну цель в пределах<br> дальности заклинания или две цели,<br> которые находятся в 5 футах друг от<br> друга. Цель должна сделать успешный<br> спасбросок по Ловкости или получит 5к4<br> урона кислотой.; Вампир; 
0; Холодная кровь; заговор; 1 действие; 60 футов; В С М; Мгновенно; (Плата собственной кровью 1к4) Из окровавленной части вашего тела, по которой течет пролитая в уплату кровь, устремляется к цели холодный луч голубовато-белого света в пределах дальности заклинания. <br>Сделайте заклинательную атаку дальнего боя в<br>против этой цели. При попадании она<br>получает 6к4 урона холодом, а ее<br>скорость уменьшается на 10 футов до<br>начала вашего следующего хода.; Вампир; 
