
0; Кипящая кровь; заговор; 1 действие; 5 футов; В М; 1 раунд; (Плата собственной кровью 1к4) Как часть действия, используемого для произнесения этого заклинания, вы должны совершить атаку когтями или оружием, пропитанными вашей искрящейся кровью, в радиусе действия заклинания.<br>При попадании, цель получает урон от атаки и 1к12 урона звуком от бурлящей крови и оказывается окутанной громовой энергией до начала вашего следующего хода.<br>Если до этого момента существо передвинется по своей воле, то оно мгновенно получит 2к8 + 2к4 урона звуком, и действие заклинания заканчивается; Вампир; 
0; Кровные узы; заговор; 1 действие; 15 футов; В М; Мгновенно; (Плата собственной кровью 1к4) Вы создаете хлыст крови, поражающий<br>одно существо по вашему выбору в<br>пределах дистанции, которое вы можете<br>видеть. Цель должна сделать успешный<br>спасбросок Силы или будет притянута на<br>10 футов по прямой линии к вам, а также<br>получит 2к8 + 2к4 урона, если<br>таким образом окажется в 5 футах от<br>вас.; Вампир; 
0; Холодная кровь; заговор; 1 действие; 60 футов; В С М; Мгновенно; (Плата собственной кровью 1к4) Из окровавленной части вашего тела, по которой течет пролитая в уплату кровь, устремляется к цели холодный луч голубовато-белого света в пределах дальности заклинания. <br>Сделайте заклинательную атаку дальнего боя в<br>против этой цели. При попадании она<br>получает 2к8 + 2к4 урона холодом, а ее<br>скорость уменьшается на 10 футов до<br>начала вашего следующего хода.; Вампир; 
0; Холодный взгляд; заговор; 1 действие; 60 футов; В С; Мгновенно; Ваши глаза наливаются кровью. Цель, на которую вы устремите свой взгляд, должна сделать спасбросок по Телосложению. При неудачном спасброске существо получит 2к6 урона холодом и обморожение: следующая атака существа будет с помехой, до конца следующего хода.<br><br>; Вампир;
0; Ярость высшей нежити; Магия крови; 1 бонусное действие; На себя; В М; К-ция, до 1 минуты; (1 кровь) Следующая ваша атака ближнего боя, совершенная во время<br>действия этого заклинания, наносит<br>дополнительные 3к6 психического урона. <br>Кроме того, если целью атаки<br>является существо, то оно должно<br>сделать спасбросок по Мудрости или<br>будет напугано до конца действия<br>заклинания. В качестве действия<br>существо может сделать проверку<br>Мудрости, чтобы укрепить свою<br>решимость и прервать это заклинание; Вампир;
0; Луч ведьмы; Магия крови; 1 действие; 30 футов; В С М; К-ция, до 1 минуты; (1 кровь) Сверкающий голубой луч энергии устремляется к выбранной цели в пределах дальности заклинания, формируя непрерывную электрическую дугу между вами и целью. Совершите против этой цели заклинательную атаку дальнего боя. При попадании цель получает 3к12 урона электричеством. Пока действует заклинание, каждый свой ход в качестве действия вы можете автоматически нанести цели 1к12 урона электричеством. Заклинание заканчивается, если вы не тратите действие на поддержание. Оно также заканчивается, если цель оказывается за пределами дальности заклинания или получает полное укрытие от вас.; Вампир;
0; Шар крови; Магия крови; 1 действие; 90 футов; В С М; Мгновенно; (1 кровь) Вы запускаете сферу крови диаметром<br>4 дюйма в существо, которое можете<br>видеть в пределах дальности<br>заклинания. Выберите тип урона:<br>кислота, холод, огонь, яд, молния или<br>звук, а затем сделайте заклинательную<br>атаку дальнего боя против цели. При<br>попадании существо получает 5к8 урона<br>выбранного типа.<br>; Вампир;
0; Адское пламя; Магия крови; 1 действие; 30 футов; В С М; Мгновенное; (1 кровь) Линия ревущего пламени длиной 30<br>футов и шириной 5 футов исходит от вас<br>в том направлении, которое вы<br>выберете. Каждое существо на линии<br>должно сделать спасбросок по Ловкости.<br>Существо получает урон от огня 4к8 при<br>неудачном броске, или вдвое меньше<br>при удачном.<br>; Вампир;
0; Лунные лучи; Магия крови; 1 действие; 120 футов; В С М; Мгновенное; (1 кровь) Вы создаете четыре огненных луча лунного света, которые устремляются к цели в пределах<br>дальности заклинания. Вы можете<br>запустить их в одну цель или в разные.<br>Сделайте заклинательную атаку<br>дальнего боя для каждого луча. При<br>попадании цель получает 2d6 урона<br>огнем.<br>; Вампир;
0; Ледяные узы; Магия крови; 1 действие; Вы(30-футовый конус); С М; Мгновенная; (1 кровь) Порыв ледяной энергии исходит от вас 30-футовым конусом. Каждое существо в этой области должно совершить спасбросок Телосложения. При провале существо получает 4к8 урона холодом и его удерживают ледяные образования в течение 1 минуты или до тех пор, пока оно или другое существо в пределах дистанции действием не разобьёт лёд. У существа, которое удерживается льдом, скорость уменьшается до 0. При успехе существо получает вдвое меньше урона, и оно не удерживается льдом. На больших уровнях.; Вампир;
0; Молния; Магия крови; 1 действие; Вы(100-футов линия); В  С М; Мгновенно; (1 кровь) Удар молнии формирует волну длиной 100 футов и шириной 5 футов, которая распространяется в указанном вами направлении. Каждое существо в зоне действия должно сделать спасбросок по Ловкости. При провале оно получает 8к6 урона электричеством, а при успехе - половину этого урона. Молния поджигает любые воспламеняющиеся объекты, которые не находятся во владении существ; Вампир;
